origin_id,destination_id,distance,minfare,maxfare,price,demand,elasticity
1,6,9807,(y:294)(p:883)(j:1471)(f:2942),(y:2961)(p:6884)(j:10807)(f:20614),(y:2037)(p:4259)(j:8853)(f:11803),(y:2952)(p:662)(j:428)(f:428),
1,7,8276,(y:248)(p:745)(j:1242)(f:2483),(y:2655)(p:5966)(j:9277)(f:17554),(y:1729)(p:3616)(j:7517)(f:10022),(y:3543)(p:794)(j:513)(f:513),
1,8,2196,(y:66)(p:198)(j:330)(f:659),(y:1439)(p:2318)(j:3197)(f:5394),(y:503)(p:1063)(j:2232)(f:2975),(y:3736)(p:845)(j:552)(f:552),
1,9,410,(y:12)(p:37)(j:62)(f:123),(y:1082)(p:1246)(j:1411)(f:1821),(y:141)(p:312)(j:690)(f:920),(y:3120)(p:742)(j:510)(f:510),
1,10,397,(y:12)(p:36)(j:60)(f:119),(y:1080)(p:1239)(j:1398)(f:1796),(y:157)(p:307)(j:592)(f:790),(y:3048)(p:639)(j:384)(f:384),
1,11,2352,(y:71)(p:212)(j:353)(f:706),(y:1471)(p:2412)(j:3353)(f:5706),(y:477)(p:1128)(j:2635)(f:3514),(y:2741)(p:695)(j:505)(f:505),
1,12,194,(y:6)(p:17)(j:29)(f:58),(y:1039)(p:1116)(j:1194)(f:1388),(y:83)(p:222)(j:565)(f:753),(y:1298)(p:370)(j:293)(f:293),
1,13,1028,(y:31)(p:93)(j:154)(f:309),(y:1206)(p:1617)(j:2029)(f:3057),(y:300)(p:572)(j:1066)(f:1422),(y:3707)(p:757)(j:439)(f:439),
1,14,590,(y:18)(p:53)(j:89)(f:177),(y:1118)(p:1354)(j:1591)(f:2181),(y:155)(p:388)(j:948)(f:1264),(y:2684)(p:720)(j:547)(f:547),
1,15,1389,(y:42)(p:125)(j:208)(f:417),(y:1278)(p:1834)(j:2389)(f:3779),(y:329)(p:723)(j:1581)(f:2108),(y:1725)(p:406)(j:276)(f:276),
1,16,7971,(y:239)(p:717)(j:1196)(f:2391),(y:2594)(p:5783)(j:8972)(f:16943),(y:1781)(p:3488)(j:6727)(f:8969),(y:3924)(p:823)(j:494)(f:494),
1,17,11507,(y:345)(p:1036)(j:1726)(f:3452),(y:3302)(p:7905)(j:12508)(f:24015),(y:2332)(p:4973)(j:10550)(f:14067),(y:4)(p:1)(j:1)(f:1),
1,18,9613,(y:288)(p:865)(j:1442)(f:2884),(y:2923)(p:6768)(j:10614)(f:20227),(y:1610)(p:4178)(j:10474)(f:13966),(y:2406)(p:669)(j:522)(f:522),
1,19,10024,(y:301)(p:902)(j:1504)(f:3007),(y:3005)(p:7015)(j:11024)(f:21048),(y:1919)(p:4350)(j:9788)(f:13051),(y:3328)(p:809)(j:566)(f:566),
11,12,8837,(y:265)(p:795)(j:1326)(f:2651),(y:2768)(p:6303)(j:9838)(f:18675),(f:2150)(j:1634)(p:1118)(y:774)(total:860),(y:900)(p:110)(j:3500)(f:5000),
12,10,8837,(y:265)(p:795)(j:1326)(f:2651),(y:2768)(p:6303)(j:9838)(f:18675),(f:1135)(j:863)(p:590)(y:409)(total:454),(y:900)(p:110)(j:3500)(f:5000),
1,20,3852,(y:116)(p:347)(j:578)(f:1156),(y:1771)(p:3312)(j:4853)(f:8706),(y:710)(p:1758)(j:4257)(f:5677),(y:2743)(p:728)(j:548)(f:548),
1,21,3657,(y:110)(p:329)(j:549)(f:1097),(y:1732)(p:3195)(j:4658)(f:8315),(y:786)(p:1676)(j:3556)(f:4741),(y:1338)(p:306)(j:202)(f:202),
1,22,3618,(y:109)(p:326)(j:543)(f:1086),(y:1724)(p:3171)(j:4618)(f:8237),(y:878)(p:1660)(j:3059)(f:4078),(y:2215)(p:448)(j:257)(f:257),
1,23,3742,(y:112)(p:337)(j:561)(f:1123),(y:1749)(p:3246)(j:4743)(f:8485),(y:707)(p:1712)(j:4072)(f:5429),(y:1737)(p:450)(j:333)(f:333),
1,24,4035,(y:121)(p:363)(j:605)(f:1211),(y:1807)(p:3421)(j:5035)(f:9071),(y:937)(p:1835)(j:3539)(f:4718),(y:3609)(p:757)(j:454)(f:454),
1,25,5987,(y:180)(p:539)(j:898)(f:1796),(y:2198)(p:4593)(j:6988)(f:12976),(y:1381)(p:2655)(j:5006)(f:6675),(y:3817)(p:786)(j:461)(f:461),
1,26,5086,(y:153)(p:458)(j:763)(f:1526),(y:2017)(p:4052)(j:6087)(f:11174),(y:1120)(p:2277)(j:4586)(f:6114),(y:3579)(p:779)(j:488)(f:488),
1,27,4672,(y:140)(p:421)(j:701)(f:1402),(y:1935)(p:3804)(j:5673)(f:10346),(y:976)(p:2103)(j:4506)(f:6008),(y:3217)(p:742)(j:495)(f:495),
1,28,4392,(y:132)(p:395)(j:659)(f:1318),(y:1878)(p:3635)(j:5392)(f:9785),(y:1041)(p:1985)(j:3700)(f:4934),(y:3563)(p:728)(j:422)(f:422),
1,29,6073,(y:182)(p:547)(j:911)(f:1822),(y:2215)(p:4644)(j:7074)(f:13148),(y:1012)(p:2691)(j:6862)(f:9149),(y:844)(p:241)(j:191)(f:191),
1,30,8691,(y:261)(p:782)(j:1304)(f:2608),(y:2738)(p:6215)(j:9692)(f:18384),(y:1426)(p:3791)(j:9666)(f:12888),(y:1316)(p:375)(j:297)(f:297),
1,31,2098,(y:63)(p:189)(j:315)(f:630),(y:1420)(p:2259)(j:3099)(f:5197),(y:394)(p:1021)(j:2561)(f:3415),(y:1573)(p:437)(j:341)(f:341),
1,32,4584,(y:138)(p:413)(j:688)(f:1375),(y:1917)(p:3751)(j:5585)(f:10170),(y:1112)(p:2066)(j:3718)(f:4958),(y:1718)(p:342)(j:191)(f:191),
1,33,9293,(y:279)(p:836)(j:1394)(f:2788),(y:2859)(p:6576)(j:10294)(f:19588),(y:1783)(p:4043)(j:9098)(f:12130),(y:1241)(p:301)(j:211)(f:211),
1,34,1381,(y:41)(p:124)(j:207)(f:414),(y:1276)(p:1829)(j:2381)(f:3762),(y:277)(p:720)(j:1805)(f:2407),(y:1229)(p:342)(j:267)(f:267),
1,35,7321,(y:220)(p:659)(j:1098)(f:2196),(y:2464)(p:5393)(j:8321)(f:15642),(y:1314)(p:3215)(j:7716)(f:10288),(y:1640)(p:430)(j:321)(f:321),
1,36,6981,(y:209)(p:628)(j:1047)(f:2095),(y:2396)(p:5189)(j:7982)(f:14963),(y:1327)(p:3072)(j:7044)(f:9393),(y:3258)(p:809)(j:577)(f:577),
1,37,4666,(y:140)(p:420)(j:700)(f:1400),(y:1933)(p:3800)(j:5666)(f:10332),(y:1092)(p:2100)(j:3959)(f:5279),(y:3853)(p:794)(j:466)(f:466),
1,38,4730,(y:142)(p:426)(j:710)(f:1419),(y:1946)(p:3838)(j:5730)(f:10460),(y:1056)(p:2127)(j:4238)(f:5651),(y:3715)(p:801)(j:497)(f:497),
1,39,8449,(y:253)(p:760)(j:1267)(f:2535),(y:2690)(p:6069)(j:9449)(f:17898),(y:2038)(p:3689)(j:6402)(f:8537),(y:3108)(p:603)(j:325)(f:325),
1,40,5110,(y:153)(p:460)(j:767)(f:1533),(y:2022)(p:4066)(j:6110)(f:11221),(y:1146)(p:2286)(j:4507)(f:6010),(y:3302)(p:706)(j:433)(f:433),
1,41,4638,(y:139)(p:417)(j:696)(f:1392),(y:1928)(p:3783)(j:5639)(f:10277),(y:921)(p:2088)(j:4699)(f:6265),(y:3359)(p:816)(j:571)(f:571),
1,42,7010,(y:210)(p:631)(j:1052)(f:2103),(y:2402)(p:5206)(j:8011)(f:15021),(y:1518)(p:3085)(j:6213)(f:8284),(y:3207)(p:698)(j:438)(f:438),
1,43,4067,(y:122)(p:366)(j:610)(f:1220),(y:1814)(p:3441)(j:5068)(f:9136),(y:755)(p:1848)(j:4436)(f:5915),(y:2354)(p:617)(j:461)(f:461),
1,44,633,(y:19)(p:57)(j:95)(f:190),(y:1127)(p:1380)(j:1634)(f:2267),(y:172)(p:406)(j:949)(f:1265),(y:2329)(p:591)(j:429)(f:429),
1,45,1551,(y:47)(p:140)(j:233)(f:465),(y:1310)(p:1931)(j:2551)(f:4102),(y:382)(p:791)(j:1628)(f:2171),(y:702)(p:156)(j:100)(f:100),
1,46,1972,(y:59)(p:178)(j:296)(f:592),(y:1395)(p:2184)(j:2973)(f:4946),(y:463)(p:969)(j:2013)(f:2684),(y:2723)(p:610)(j:394)(f:394),
1,47,2345,(y:70)(p:211)(j:352)(f:704),(y:1469)(p:2407)(j:3346)(f:5691),(y:611)(p:1125)(j:2001)(f:2668),(y:1788)(p:353)(j:195)(f:195),
1,48,4865,(y:146)(p:438)(j:730)(f:1460),(y:1973)(p:3919)(j:5866)(f:10732),(y:1206)(p:2184)(j:3790)(f:5054),(y:4397)(p:853)(j:460)(f:460),
1,49,7045,(y:211)(p:634)(j:1057)(f:2114),(y:2409)(p:5227)(j:8045)(f:15090),(y:1554)(p:3099)(j:6109)(f:8146),(y:2821)(p:603)(j:370)(f:370),
1,50,7561,(y:227)(p:681)(j:1134)(f:2268),(y:2512)(p:5537)(j:8562)(f:16123),(y:1601)(p:3316)(j:6821)(f:9095),(y:3544)(p:786)(j:503)(f:503),
1,51,6008,(y:180)(p:541)(j:901)(f:1803),(y:2202)(p:4605)(j:7009)(f:13017),(y:1459)(p:2664)(j:4680)(f:6240),(y:3157)(p:617)(j:338)(f:338),
1,52,7049,(y:211)(p:634)(j:1057)(f:2115),(y:2410)(p:5230)(j:8050)(f:15099),(y:1353)(p:3101)(j:7043)(f:9391),(y:3263)(p:801)(j:566)(f:566),
1,53,6825,(y:205)(p:614)(j:1024)(f:2048),(y:2365)(p:5096)(j:7826)(f:14652),(y:1298)(p:3007)(j:6894)(f:9192),(y:3229)(p:801)(j:571)(f:571),
1,54,7223,(y:217)(p:650)(j:1083)(f:2167),(y:2445)(p:5334)(j:8223)(f:15446),(y:1665)(p:3174)(j:5917)(f:7889),(y:4175)(p:853)(j:495)(f:495),
1,55,4367,(y:131)(p:393)(j:655)(f:1310),(y:1874)(p:3621)(j:5368)(f:9735),(y:1091)(p:1974)(j:3427)(f:4569),(y:3146)(p:610)(j:329)(f:329),
1,56,4256,(y:128)(p:383)(j:638)(f:1277),(y:1851)(p:3554)(j:5256)(f:9513),(y:814)(p:1928)(j:4502)(f:6003),(y:2283)(p:579)(j:421)(f:421),
1,57,4437,(y:133)(p:399)(j:666)(f:1331),(y:1888)(p:3663)(j:5438)(f:9876),(y:949)(p:2004)(j:4208)(f:5611),(y:3704)(p:838)(j:547)(f:547),
1,58,7940,(y:238)(p:715)(j:1191)(f:2382),(y:2588)(p:5764)(j:8940)(f:16881),(y:1920)(p:3475)(j:6032)(f:8042),(y:697)(p:135)(j:73)(f:73),
1,59,7683,(y:231)(p:692)(j:1153)(f:2305),(y:2537)(p:5610)(j:8684)(f:16367),(y:1845)(p:3367)(j:5917)(f:7889),(y:4209)(p:823)(j:450)(f:450),
1,60,3483,(y:105)(p:314)(j:523)(f:1045),(y:1697)(p:3090)(j:4484)(f:7968),(y:707)(p:1603)(j:3607)(f:4810),(y:526)(p:128)(j:90)(f:90),
1,61,8292,(y:249)(p:746)(j:1244)(f:2488),(y:2658)(p:5975)(j:9292)(f:17585),(y:1833)(p:3623)(j:7065)(f:9419),(y:1965)(p:416)(j:252)(f:252),
1,62,9719,(y:292)(p:875)(j:1458)(f:2916),(y:2944)(p:6832)(j:10719)(f:20439),(y:2294)(p:4222)(j:7509)(f:10013),(y:4360)(p:860)(j:476)(f:476),
1,63,1906,(y:57)(p:172)(j:286)(f:572),(y:1381)(p:2144)(j:2907)(f:4814),(y:411)(p:941)(j:2137)(f:2850),(y:825)(p:202)(j:143)(f:143),
1,64,1165,(y:35)(p:105)(j:175)(f:350),(y:1233)(p:1699)(j:2165)(f:3330),(y:245)(p:629)(j:1564)(f:2086),(y:1703)(p:468)(j:362)(f:362),
1,65,1681,(y:50)(p:151)(j:252)(f:505),(y:1336)(p:2009)(j:2682)(f:4364),(y:381)(p:846)(j:1868)(f:2491),(y:2502)(p:595)(j:409)(f:409),
1,66,2146,(y:64)(p:193)(j:322)(f:644),(y:1429)(p:2288)(j:3146)(f:5292),(y:401)(p:1041)(j:2611)(f:3481),(y:2591)(p:720)(j:562)(f:562),
1,67,4044,(y:121)(p:364)(j:607)(f:1213),(y:1809)(p:3427)(j:5044)(f:9089),(y:837)(p:1839)(j:4019)(f:5358),(y:2410)(p:568)(j:386)(f:386),
1,68,1900,(y:57)(p:171)(j:285)(f:570),(y:1380)(p:2140)(j:2900)(f:4801),(y:444)(p:938)(j:1970)(f:2627),(y:3866)(p:875)(j:571)(f:571),
1,69,7103,(y:213)(p:639)(j:1066)(f:2131),(y:2421)(p:5262)(j:8104)(f:15207),(y:1392)(p:3123)(j:6961)(f:9281),(y:2299)(p:553)(j:383)(f:383),
1,70,7063,(y:212)(p:636)(j:1059)(f:2119),(y:2413)(p:5238)(j:8063)(f:15126),(y:1212)(p:3107)(j:7722)(f:10296),(y:2809)(p:772)(j:597)(f:597),
1,71,4221,(y:127)(p:380)(j:633)(f:1266),(y:1844)(p:3533)(j:5221)(f:9442),(y:1039)(p:1913)(j:3402)(f:4536),(y:3130)(p:617)(j:342)(f:342),
1,72,4331,(y:130)(p:390)(j:650)(f:1299),(y:1866)(p:3599)(j:5331)(f:9662),(y:946)(p:1959)(j:4030)(f:5373),(y:1094)(p:243)(j:155)(f:155),
1,73,4261,(y:128)(p:384)(j:639)(f:1278),(y:1852)(p:3557)(j:5262)(f:9523),(y:1048)(p:1930)(j:3432)(f:4576),(y:779)(p:154)(j:85)(f:85),
1,74,5413,(y:162)(p:487)(j:812)(f:1624),(y:2083)(p:4248)(j:6414)(f:11828),(y:1233)(p:2414)(j:4655)(f:6207),(y:3188)(p:669)(j:401)(f:401),
1,75,923,(y:28)(p:83)(j:139)(f:277),(y:1185)(p:1554)(j:1924)(f:2848),(y:292)(p:528)(j:916)(f:1222),(y:1395)(p:270)(j:146)(f:146),
1,76,1982,(y:59)(p:178)(j:297)(f:595),(y:1396)(p:2189)(j:2982)(f:4964),(y:397)(p:972)(j:2334)(f:3112),(y:1994)(p:523)(j:390)(f:390),
1,77,605,(y:18)(p:54)(j:91)(f:182),(y:1121)(p:1363)(j:1606)(f:2211),(y:165)(p:394)(j:929)(f:1239),(y:1696)(p:435)(j:319)(f:319),
1,78,4793,(y:144)(p:431)(j:719)(f:1438),(y:1959)(p:3876)(j:5794)(f:10588),(y:860)(p:2153)(j:5260)(f:7014),(y:466)(p:125)(j:95)(f:95),
1,79,1527,(y:46)(p:137)(j:229)(f:458),(y:1305)(p:1916)(j:2527)(f:4054),(y:374)(p:781)(j:1624)(f:2166),(y:1608)(p:360)(j:233)(f:233),
1,80,727,(y:22)(p:65)(j:109)(f:218),(y:1145)(p:1436)(j:1727)(f:2454),(y:178)(p:445)(j:1088)(f:1451),(y:391)(p:105)(j:80)(f:80),
1,81,746,(y:22)(p:67)(j:112)(f:224),(y:1149)(p:1448)(j:1747)(f:2493),(y:234)(p:454)(j:865)(f:1153),(y:1518)(p:316)(j:187)(f:187),
1,82,777,(y:23)(p:70)(j:117)(f:233),(y:1155)(p:1466)(j:1777)(f:2554),(y:204)(p:466)(j:1059)(f:1412),(y:1177)(p:289)(j:204)(f:204),
1,83,1852,(y:56)(p:167)(j:278)(f:556),(y:1370)(p:2111)(j:2852)(f:4705),(y:456)(p:918)(j:1829)(f:2439),(y:3272)(p:706)(j:437)(f:437),
1,84,2154,(y:65)(p:194)(j:323)(f:646),(y:1431)(p:2293)(j:3154)(f:5309),(y:563)(p:1045)(j:1881)(f:2508),(y:3140)(p:625)(j:350)(f:350),
1,85,4740,(y:142)(p:427)(j:711)(f:1422),(y:1948)(p:3844)(j:5740)(f:10481),(y:851)(p:2131)(j:5206)(f:6941),(y:1315)(p:353)(j:268)(f:268),
1,86,4675,(y:140)(p:421)(j:701)(f:1403),(y:1935)(p:3805)(j:5676)(f:10351),(y:1172)(p:2104)(j:3606)(f:4808),(y:86)(p:17)(j:9)(f:9),
1,87,4696,(y:141)(p:423)(j:704)(f:1409),(y:1939)(p:3818)(j:5697)(f:10393),(y:1030)(p:2113)(j:4301)(f:5734),(y:308)(p:68)(j:43)(f:43),
1,88,946,(y:28)(p:85)(j:142)(f:284),(y:1189)(p:1568)(j:1946)(f:2893),(y:299)(p:537)(j:921)(f:1229),(y:1974)(p:380)(j:202)(f:202),
1,89,1022,(y:31)(p:92)(j:153)(f:307),(y:1205)(p:1614)(j:2023)(f:3045),(y:222)(p:570)(j:1416)(f:1888),(y:1909)(p:525)(j:406)(f:406),
1,90,444,(y:13)(p:40)(j:67)(f:133),(y:1089)(p:1267)(j:1444)(f:1889),(y:149)(p:327)(j:714)(f:952),(y:2083)(p:491)(j:334)(f:334),
1,91,1034,(y:31)(p:93)(j:155)(f:310),(y:1207)(p:1621)(j:2035)(f:3070),(y:315)(p:575)(j:1010)(f:1346),(y:3495)(p:684)(j:374)(f:374),
1,92,360,(y:11)(p:32)(j:54)(f:108),(y:1072)(p:1216)(j:1360)(f:1720),(y:158)(p:291)(j:518)(f:691),(y:1482)(p:292)(j:162)(f:162),
1,93,129,(y:4)(p:12)(j:19)(f:39),(y:1026)(p:1078)(j:1130)(f:1259),(y:90)(p:194)(j:417)(f:555),(y:2699)(p:623)(j:415)(f:415),
1,94,1146,(y:34)(p:103)(j:172)(f:344),(y:1229)(p:1688)(j:2146)(f:3292),(y:280)(p:621)(j:1371)(f:1829),(y:134)(p:32)(j:22)(f:22),
1,95,3415,(y:102)(p:307)(j:512)(f:1025),(y:1683)(p:3050)(j:4416)(f:7832),(y:790)(p:1575)(j:3104)(f:4139),(y:970)(p:207)(j:127)(f:127),
1,96,2191,(y:66)(p:197)(j:329)(f:657),(y:1438)(p:2315)(j:3192)(f:5383),(y:468)(p:1060)(j:2386)(f:3181),(y:733)(p:178)(j:125)(f:125),
1,97,1991,(y:60)(p:179)(j:299)(f:598),(y:1398)(p:2195)(j:2992)(f:4984),(y:431)(p:977)(j:2197)(f:2930),(y:550)(p:134)(j:94)(f:94),
1,98,596,(y:18)(p:54)(j:90)(f:179),(y:1119)(p:1358)(j:1597)(f:2194),(y:156)(p:391)(j:954)(f:1273),(y:1431)(p:384)(j:292)(f:292),
1,99,1390,(y:42)(p:125)(j:209)(f:417),(y:1278)(p:1835)(j:2391)(f:3782),(y:350)(p:724)(j:1490)(f:1986),(y:1356)(p:301)(j:193)(f:193),
1,100,1758,(y:53)(p:158)(j:264)(f:528),(y:1352)(p:2055)(j:2759)(f:4518),(y:396)(p:879)(j:1939)(f:2586),(y:312)(p:74)(j:51)(f:51),
1,101,574,(y:17)(p:52)(j:86)(f:172),(y:1115)(p:1344)(j:1574)(f:2148),(y:189)(p:381)(j:759)(f:1013),(y:817)(p:176)(j:109)(f:109),
1,102,2331,(y:70)(p:210)(j:350)(f:699),(y:1466)(p:2399)(j:3331)(f:5663),(y:468)(p:1119)(j:2638)(f:3518),(y:2291)(p:587)(j:431)(f:431),
1,103,2296,(y:69)(p:207)(j:344)(f:689),(y:1459)(p:2378)(j:3296)(f:5593),(y:497)(p:1105)(j:2438)(f:3250),(y:1483)(p:353)(j:242)(f:242),
1,104,2296,(y:69)(p:207)(j:345)(f:689),(y:1459)(p:2378)(j:3297)(f:5594),(y:518)(p:1105)(j:2343)(f:3125),(y:2488)(p:569)(j:375)(f:375),
1,105,2307,(y:69)(p:208)(j:346)(f:692),(y:1461)(p:2384)(j:3307)(f:5614),(y:613)(p:1109)(j:1925)(f:2566),(y:1985)(p:385)(j:208)(f:208),
1,106,57,(y:2)(p:5)(j:9)(f:17),(y:1011)(p:1034)(j:1057)(f:1114),(y:88)(p:164)(j:299)(f:398),(y:1500)(p:301)(j:171)(f:171),
1,107,678,(y:20)(p:61)(j:102)(f:204),(y:1136)(p:1407)(j:1679)(f:2358),(y:203)(p:425)(j:884)(f:1178),(y:3346)(p:750)(j:485)(f:485),
1,108,2030,(y:61)(p:183)(j:305)(f:609),(y:1406)(p:2218)(j:3030)(f:5061),(y:410)(p:993)(j:2361)(f:3148),(y:1148)(p:298)(j:220)(f:220),
1,109,622,(y:19)(p:56)(j:93)(f:187),(y:1124)(p:1373)(j:1622)(f:2245),(y:157)(p:401)(j:998)(f:1330),(y:793)(p:218)(j:169)(f:169),
1,110,275,(y:8)(p:25)(j:41)(f:83),(y:1055)(p:1165)(j:1276)(f:1551),(y:107)(p:256)(j:603)(f:804),(y:843)(p:216)(j:158)(f:158),
1,111,1820,(y:55)(p:164)(j:273)(f:546),(y:1364)(p:2092)(j:2820)(f:4641),(y:370)(p:905)(j:2171)(f:2895),(y:897)(p:235)(j:176)(f:176),
1,112,318,(y:10)(p:29)(j:48)(f:96),(y:1064)(p:1191)(j:1318)(f:1637),(y:107)(p:274)(j:680)(f:907),(y:2194)(p:603)(j:466)(f:466),
1,113,305,(y:9)(p:27)(j:46)(f:92),(y:1061)(p:1183)(j:1305)(f:1610),(y:147)(p:268)(j:471)(f:628),(y:2595)(p:508)(j:277)(f:277),
1,114,1143,(y:34)(p:103)(j:171)(f:343),(y:1229)(p:1686)(j:2143)(f:3286),(y:265)(p:620)(j:1435)(f:1913),(y:2878)(p:722)(j:520)(f:520),
1,115,1252,(y:38)(p:113)(j:188)(f:376),(y:1251)(p:1752)(j:2253)(f:3506),(y:325)(p:666)(j:1356)(f:1808),(y:582)(p:128)(j:81)(f:81),
1,116,352,(y:11)(p:32)(j:53)(f:106),(y:1071)(p:1212)(j:1353)(f:1705),(y:126)(p:288)(j:654)(f:873),(y:2183)(p:536)(j:379)(f:379),
1,117,1207,(y:36)(p:109)(j:181)(f:362),(y:1242)(p:1725)(j:2208)(f:3415),(y:255)(p:647)(j:1595)(f:2127),(y:2870)(p:779)(j:597)(f:597),
1,118,7258,(y:218)(p:653)(j:1089)(f:2178),(y:2452)(p:5355)(j:8259)(f:15517),(y:1347)(p:3189)(j:7448)(f:9930),(y:2551)(p:647)(j:470)(f:470),
1,119,7245,(y:217)(p:652)(j:1087)(f:2174),(y:2449)(p:5348)(j:8246)(f:15492),(y:1286)(p:3183)(j:7708)(f:10278),(y:2411)(p:639)(j:482)(f:482),
1,120,9121,(y:274)(p:821)(j:1368)(f:2736),(y:2824)(p:6473)(j:10121)(f:19242),(y:1715)(p:3971)(j:9105)(f:12140),(y:899)(p:223)(j:159)(f:159),
1,121,7265,(y:218)(p:654)(j:1090)(f:2180),(y:2453)(p:5359)(j:8265)(f:15530),(y:1763)(p:3191)(j:5539)(f:7386),(y:1905)(p:369)(j:200)(f:200),
1,122,6749,(y:202)(p:607)(j:1012)(f:2025),(y:2350)(p:5049)(j:7749)(f:14498),(y:1464)(p:2975)(j:5992)(f:7989),(y:2768)(p:603)(j:378)(f:378),
1,123,441,(y:13)(p:40)(j:66)(f:132),(y:1088)(p:1265)(j:1441)(f:1883),(y:133)(p:325)(j:781)(f:1041),(y:2478)(p:650)(j:485)(f:485),
2,7,4574,(y:137)(p:412)(j:686)(f:1372),(y:1915)(p:3745)(j:5574)(f:10149),(y:1053)(p:2061)(j:3975)(f:5300),(y:4169)(p:875)(j:525)(f:525),
2,9,7348,(y:220)(p:661)(j:1102)(f:2205),(y:2470)(p:5409)(j:8349)(f:15697),(y:1318)(p:3226)(j:7743)(f:10324),(y:2831)(p:742)(j:554)(f:554),
2,10,7327,(y:220)(p:660)(j:1099)(f:2198),(y:2466)(p:5397)(j:8328)(f:15656),(y:1374)(p:3218)(j:7447)(f:9929),(y:2725)(p:684)(j:492)(f:492),
2,11,4768,(y:143)(p:429)(j:715)(f:1431),(y:1954)(p:3861)(j:5769)(f:10537),(y:856)(p:2143)(j:5235)(f:6979),(y:2705)(p:726)(j:552)(f:552),
2,12,7175,(y:215)(p:646)(j:1076)(f:2153),(y:2435)(p:5306)(j:8176)(f:15352),(y:1655)(p:3154)(j:5880)(f:7840),(y:2193)(p:448)(j:260)(f:260),
